nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
POSTO SENHOR DO BONFIM,posto-senhor-do-bonfim,2007-08-14T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POSTO SETOR,posto-setor,2006-03-08T03:00:00.000Z,1,Teofilândia,BA,22590,-11.4827,-38.9913,,,,
POSTO SHALOM,posto-shalom,2009-10-27T02:00:00.000Z,5,Tanquinho,BA,7936,-11.968,-39.1033,,,,
POSTO SHELL PARALELA II,posto-shell-paralela-ii,2003-10-24T02:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POSTO SIGA BEM,posto-siga-bem,1998-04-16T03:00:00.000Z,5,Seabra,BA,44370,-12.4169,-41.7722,,,,
POSTO SINAL VERDE,posto-sinal-verde,1994-04-07T03:00:00.000Z,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,,,,
POSTO SR. DO BOMFIM,posto-sr-do-bomfim,2000-02-14T02:00:00.000Z,5,Camacan,BA,32023,-15.4142,-39.4919,,,,
POSTO SUBAUMA,posto-subauma,2005-03-21T03:00:00.000Z,1,Entre Rios,BA,42014,-11.9392,-38.0871,,,,
POSTO TANQUINHO,posto-tanquinho,2009-08-14T03:00:00.000Z,5,Lapão,BA,27323,-11.3851,-41.8286,,,,
POSTO TEUNA,posto-teuna,1982-03-15T03:00:00.000Z,3,Itabuna,BA,214123,-14.7876,-39.2781,,,,
POSTO THAY & THI,posto-thay-thi,1992-12-17T02:00:00.000Z,5,Irajuba,BA,7295,-13.2563,-40.0848,,,,
POSTO TRAVESSAO,posto-travessao,1986-10-16T03:00:00.000Z,5,Camamu,BA,35444,-13.9398,-39.1071,,,,
POSTO TREVO,posto-trevo,1990-07-12T03:00:00.000Z,5,Camaçari,BA,309208,-12.6996,-38.3263,,,,
POSTO TRIUNFENSE 2,posto-triunfense-2,2014-05-15T03:00:00.000Z,1,Novo Triunfo,BA,15445,-10.3182,-38.4014,,,,
POSTO TRIUNFO,posto-triunfo,2010-10-20T02:00:00.000Z,1,Barra da Estiva,BA,20198,-13.6237,-41.3347,,,,
POSTO TURMALINA,posto-turmalina,2008-04-17T03:00:00.000Z,5,Brumado,BA,67468,-14.2021,-41.6696,,,,
POSTO VASCO DA GAMA,posto-vasco-da-gama,1995-10-16T02:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POSTO VASCO DA GAMA,posto-vasco-da-gama,1993-09-28T03:00:00.000Z,5,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POSTO VEREDA,posto-vereda,2004-01-21T02:00:00.000Z,3,Vereda,BA,6105,-17.2183,-40.0974,,,,
POSTO VITORIA,posto-vitoria,2004-10-14T03:00:00.000Z,3,Antônio Gonçalves,BA,11955,-10.5767,-40.2785,,,,
POSTO VITORIA,posto-vitoria,2008-11-26T02:00:00.000Z,3,Paripiranga,BA,29124,-10.6859,-37.8626,,,,
POSTO VITORIA,posto-vitoria,2010-03-29T03:00:00.000Z,1,Sapeaçu,BA,17421,-12.7208,-39.1824,,,,
POSTO Z R,posto-z-r,2007-04-04T03:00:00.000Z,1,Abaré,BA,20594,-8.72073,-39.1162,,,,
POSTOS REIS,postos-reis,2010-03-02T03:00:00.000Z,1,Juazeiro,BA,219544,-9.41622,-40.5033,,,,
POSTURA ATIVA,postura-ativa,2008-11-12T02:00:00.000Z,1,Salvador,BA,2900319,-12.9718,-38.5011,,,,
POTEN CIA,poten-cia,2000-12-11T02:00:00.000Z,3,Lauro de Freitas,BA,204669,-12.8978,-38.321,,,,
POTENCIAL - ENGENHARIA E CONSTRUCOES,potencial-engenharia-e-construcoes,2003-09-26T03:00:00.000Z,5,Dias d'Ávila,BA,83705,-12.6187,-38.2926,,,,
POTENCIAL AUTO MECANICA,potencial-auto-mecanica,2004-04-29T03:00:00.000Z,1,Barreiras,BA,158432,-12.1439,-44.9968,,,,
POTIGAS,potigas,1996-07-26T03:00:00.000Z,1,Potiraguá,BA,6623,-15.5943,-39.8638,,,,
POURESLACT,poureslact,2001-09-19T03:00:00.000Z,1,Pindobaçu,BA,20048,-10.7433,-40.3675,,,,
POUSADA 3 ESPACO,pousada-3-espaco,2011-11-17T02:00:00.000Z,1,Valença,BA,97873,-13.3669,-39.073,,,,
POUSADA A CABANA,pousada-a-cabana,2006-08-22T03:00:00.000Z,1,Santo Estêvão,BA,53666,-12.428,-39.2505,,,,
POUSADA ABARE,pousada-abare,1998-10-20T02:00:00.000Z,1,Abaré,BA,20594,-8.72073,-39.1162,,,,
POUSADA ACONCHEGO,pousada-aconchego,2011-09-12T03:00:00.000Z,1,Cairu,BA,18666,-13.4904,-39.0465,,,,
POUSADA ACONCHEGO,pousada-aconchego,2012-02-13T02:00:00.000Z,1,Palmeiras,BA,9123,-12.5059,-41.5809,,,,
POUSADA AGUA VIVA,pousada-agua-viva,1998-04-06T03:00:00.000Z,1,Barreiras,BA,158432,-12.1439,-44.9968,,,,
POUSADA ALDEIA,pousada-aldeia,2011-09-28T03:00:00.000Z,1,Cairu,BA,18666,-13.4904,-39.0465,,,,
POUSADA ARAUJO,pousada-araujo,2009-02-12T02:00:00.000Z,1,Barreiras,BA,158432,-12.1439,-44.9968,,,,
POUSADA ATALAIA,pousada-atalaia,2007-05-29T03:00:00.000Z,1,Utinga,BA,19330,-12.0783,-41.0954,,,,
POUSADA AZEVEDO,pousada-azevedo,1997-09-12T03:00:00.000Z,1,Livramento de Nossa Senhora,BA,46372,-13.6369,-41.8432,,,,
POUSADA BEMTEVI,pousada-bemtevi,2014-05-12T03:00:00.000Z,1,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POUSADA BEU,pousada-beu,2005-07-27T03:00:00.000Z,1,Morro do Chapéu,BA,35466,-11.5488,-41.1565,,,,
POUSADA BOI VALENTE,pousada-boi-valente,2008-10-07T03:00:00.000Z,1,Valente,BA,29111,-11.4062,-39.457,,,,
POUSADA BRANCA,pousada-branca,2014-06-03T03:00:00.000Z,1,Canavieiras,BA,30722,-15.6722,-38.9536,,,,
POUSADA CAEIRA,pousada-caeira,1992-01-22T02:00:00.000Z,1,Cairu,BA,18666,-13.4904,-39.0465,,,,
POUSADA CAPITU IMBASSAI,pousada-capitu-imbassai,2008-09-09T03:00:00.000Z,5,Mata de São João,BA,47643,-12.5307,-38.3009,,,,
POUSADA CHAUA,pousada-chaua,1989-12-26T02:00:00.000Z,1,Porto Seguro,BA,152529,-16.4435,-39.0643,,,,
POUSADA CHIC NCHOC,pousada-chic-nchoc,2011-09-19T03:00:00.000Z,1,Cairu,BA,18666,-13.4904,-39.0465,,,,
POUSADA COPACABANA,pousada-copacabana,2011-10-13T03:00:00.000Z,1,Ilhéus,BA,157639,-14.793,-39.046,,,,
